[10/03/2014 00:06:43] | *** LOGGER CLOSED ***
[10/03/2014 00:08:23] | *** LOGGER STARTED ***
[10/03/2014 00:08:23] | [INFO] Configurations loaded
[10/03/2014 00:08:23] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:08:23] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:08:23] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:08:23] | [INFO] Operating System is: windows 7
[10/03/2014 00:08:34] | *** LOGGER STARTED ***
[10/03/2014 00:08:34] | [INFO] Configurations loaded
[10/03/2014 00:08:35] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:08:35] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:08:35] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:08:35] | [INFO] Operating System is: windows 7
[10/03/2014 00:08:35] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: Resources path does not exist
[10/03/2014 00:08:35] | [INFO] Saving the current configuration...
[10/03/2014 00:08:35] | [INFO] Current configurations saved
[10/03/2014 00:08:35] | *** LOGGER CLOSED ***
[10/03/2014 00:08:54] | *** LOGGER STARTED ***
[10/03/2014 00:08:54] | [INFO] Configurations loaded
[10/03/2014 00:08:54] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:08:54] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:08:54] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:08:54] | [INFO] Operating System is: windows 7
[10/03/2014 00:08:54] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: Resources path does not exist
[10/03/2014 00:08:54] | [INFO] Saving the current configuration...
[10/03/2014 00:08:54] | [INFO] Current configurations saved
[10/03/2014 00:08:54] | *** LOGGER CLOSED ***
[10/03/2014 00:10:26] | *** LOGGER STARTED ***
[10/03/2014 00:10:26] | [INFO] Configurations loaded
[10/03/2014 00:10:26] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:10:26] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:10:27] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:10:27] | [INFO] Operating System is: windows 7
[10/03/2014 00:10:27] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: Resources path does not exist
[10/03/2014 00:10:27] | [INFO] Saving the current configuration...
[10/03/2014 00:10:27] | [INFO] Current configurations saved
[10/03/2014 00:10:27] | *** LOGGER CLOSED ***
[10/03/2014 00:10:51] | *** LOGGER STARTED ***
[10/03/2014 00:10:51] | [INFO] Configurations loaded
[10/03/2014 00:10:51] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:10:51] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:10:51] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:10:51] | [INFO] Operating System is: windows 7
[10/03/2014 00:10:51] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: Resources path does not exist
[10/03/2014 00:10:51] | [INFO] Saving the current configuration...
[10/03/2014 00:10:51] | [INFO] Current configurations saved
[10/03/2014 00:10:51] | *** LOGGER CLOSED ***
[10/03/2014 00:11:18] | *** LOGGER STARTED ***
[10/03/2014 00:11:18] | [INFO] Configurations loaded
[10/03/2014 00:11:18] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:11:18] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:11:18] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:11:18] | [INFO] Operating System is: windows 7
[10/03/2014 00:11:18] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchswin.properties']
[10/03/2014 00:11:18] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: The properties file can not be found
[10/03/2014 00:11:18] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:12:09] | *** LOGGER STARTED ***
[10/03/2014 00:12:10] | [INFO] Configurations loaded
[10/03/2014 00:12:10] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:12:10] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:12:10] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:12:10] | [INFO] Operating System is: windows 7
[10/03/2014 00:12:10] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchswin.properties']
[10/03/2014 00:12:10] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: The properties file can not be found
[10/03/2014 00:12:10] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:12:41] | *** LOGGER STARTED ***
[10/03/2014 00:12:41] | [INFO] Configurations loaded
[10/03/2014 00:12:41] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:12:41] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:12:42] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:12:42] | [INFO] Operating System is: windows 7
[10/03/2014 00:12:42] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchswin.properties']
[10/03/2014 00:12:42] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: The properties file can not be found
[10/03/2014 00:12:42] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:13:00] | *** LOGGER STARTED ***
[10/03/2014 00:13:00] | [INFO] Configurations loaded
[10/03/2014 00:13:00] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:13:00] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:13:01] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:13:01] | [INFO] Operating System is: windows 7
[10/03/2014 00:13:01] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:13:01] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:13:01] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:13:01] | [INFO] Looking for command key: file.hideFile
[10/03/2014 00:13:01] | [INFO] Command found: attrib +s +h %1%%2%
