[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:26:33] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:26:33] | *** LOGGER CLOSED ***
[23/02/2014 12:29:30] | *** LOGGER STARTED ***
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:29:30] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:29:30] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip
[23/02/2014 12:29:30] | *** LOGGER CLOSED ***
[23/02/2014 12:30:39] | *** LOGGER STARTED ***
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:30:39] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:30:39] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip
[23/02/2014 12:30:39] | *** LOGGER CLOSED ***
[23/02/2014 12:32:21] | *** LOGGER STARTED ***
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip [folderTest/subFileTest, folderTest/subFolderTest/subSubFileTest, folderTest/subFolderTest]
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:32:21] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:32:21] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip [.folderTest.encrypted]
[23/02/2014 12:32:21] | *** LOGGER CLOSED ***
[23/02/2014 12:33:01] | *** LOGGER STARTED ***
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding files in zip [folderTest/subFileTest, folderTest/subFolderTest/subSubFileTest, folderTest/subFolderTest]
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding file: ['subFileTest']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding file: ['subSubFileTest']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Adding file: ['subFolderTest']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:33:01] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
